Deal ID,Company ID,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,Current Financing Status,Current Business Status,Universe,CEO PBId,CEO Education,Deal No.,Deal ID,Announced Date,Deal Date,Deal Size,Deal Size Status,Pre-money Valuation,Post Valuation,Post Valuation Status,% Acquired,Raised to Date,VC Round,VC Round Up/Down/Flat,Price per Share,Series,Deal Type,Deal Type 2,Deal Type 3,Deal Class,Total Invested Equity,Debt Type,Debt Type 2,Debt Type 3,Debt Amount 1,Debt Amount 2,Debt Amount 3,Debt Raised in Round,Contingent Payout,Deal Status,Business Status,Financing Status,Employees,# Investors,# New Investors,# Follow-on Investors,Implied EV,Revenue,Revenue Growth since last debt deal,Gross Profit,Net Income,EBITDA,EBIT,Total Debt (from financials),Fiscal Year,Valuation/EBITDA,Valuation/EBIT,Valuation/Net Income,Valuation/Revenue,Valuation/Cash Flow,Deal Size/EBITDA,Deal Size/EBIT,Deal Size/Net Income,Deal Size/Revenue,Deal Size/Cash Flow,Debt/EBITDA,Debt/Equity,Implied EV/EBITDA,Implied EV/EBIT,Implied EV/Net Income,Implied EV/Revenue,Implied EV/Cash Flow,EBITDA Margin %,Current Employees,Native Currency of Deal,HQ Location,HQ Global Region,HQ Global Sub Region,Company City,Company State/Province,Company Post Code,Company Country,Year Founded
112200-58T,233268-04,Information Technology,Software,Business/Productivity Software,Business/Productivity Software*,"CloudTech & DevOps, SaaS","data analytics, data analytics platform, data management platform, distributing analytics, iot connectivity, iot device, iot hardware, iot service platform, iot services platform, service integration",Formerly Angel backed,Out of Business,Venture Capital,194230-00P,"Oregon State University, Bachelor's, 1991",1,112200-58T,,06-Oct-2017,,,,,,,,1st Round,,,,Early Stage VC,,,Venture Capital,,,,,,,,,,Completed,Startup,Venture Capital-Backed,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Dollars (USD),"Portland, OR",Americas,North America,Portland,Oregon,97229,United States,2017
51928-21T,81702-55,Information Technology,Software,Business/Productivity Software,"Business/Productivity Software*, Information Services (B2C), Media and Information Services (B2B)","CloudTech & DevOps, SaaS, TMT","generation forming, online forming, online survey forming, software tools, survey program forming",Venture Capital-Backed,Generating Revenue,Venture Capital,101522-26P,"BE (Bachelor of Engineering), 2005, Computer Science; Degree, 2000, Computer Science and English",2,51928-21T,,15-Jun-2015,1.00,Estimated,,,,20.00%,1.00,1st Round,,,,Later Stage VC,,,Venture Capital,1.00,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,42,2,2,,,0.68,,0.08,0.07,,,,2014,,,,,,,,15.02x,1.48x,,,,,,,,,,125,US Dollars (USD),"Timisoara, Romania",Europe,Eastern Europe,Timisoara,,300195,Romania,2008
118405-99T,161968-06,Information Technology,Software,Communication Software,"Business/Productivity Software, Communication Software*","Augmented Reality, CloudTech & DevOps, Mobile, TMT, Virtual Reality","augmented reality app, broadcast content, holograms technology, mobile application development, screen broadcast content",Angel-Backed,Generating Revenue,Pre-venture,139119-67P,"University of Huddersfield, MS (Master of Science), 2001, Interactive Multimedia",6,118405-99T,,30-Jun-2019,0.53,Estimated,3.15,3.69,Estimated,14.48%,1.96,Angel,Up Round,9.00,,Angel (individual),Angel (individual),,Individual,0.53,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,1,1,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,British Pounds (GBP),"York, United Kingdom",Europe,Western Europe,York,England,YO10 5GA,United Kingdom,2012
126936-91T,161968-06,Information Technology,Software,Communication Software,"Business/Productivity Software, Communication Software*","Augmented Reality, CloudTech & DevOps, Mobile, TMT, Virtual Reality","augmented reality app, broadcast content, holograms technology, mobile application development, screen broadcast content",Angel-Backed,Generating Revenue,Pre-venture,,,3,126936-91T,,31-Mar-2016,0.60,Actual,2.77,3.37,Actual,17.74%,1.43,Angel,Flat Round,13.49,,Angel (individual),Angel (individual),,Individual,0.60,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,British Pounds (GBP),"York, United Kingdom",Europe,Western Europe,York,England,YO10 5GA,United Kingdom,2012
72284-32T,161968-06,Information Technology,Software,Communication Software,"Business/Productivity Software, Communication Software*","Augmented Reality, CloudTech & DevOps, Mobile, TMT, Virtual Reality","augmented reality app, broadcast content, holograms technology, mobile application development, screen broadcast content",Angel-Backed,Generating Revenue,Pre-venture,139120-93P,"University College Birmingham, Degree, 1971, Graphic Design & Advertising",2,72284-32T,01-Mar-2015,10-Jul-2015,0.61,Actual,2.41,3.02,Actual,20.17%,0.83,1st Round,Flat Round,13.49,,Seed Round,Seed Round,,Individual,0.61,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Pounds (GBP),"York, United Kingdom",Europe,Western Europe,York,England,YO10 5GA,United Kingdom,2012
118405-72T,161968-06,Information Technology,Software,Communication Software,"Business/Productivity Software, Communication Software*","Augmented Reality, CloudTech & DevOps, Mobile, TMT, Virtual Reality","augmented reality app, broadcast content, holograms technology, mobile application development, screen broadcast content",Angel-Backed,Generating Revenue,Pre-venture,139119-67P,"University of Huddersfield, MS (Master of Science), 2001, Interactive Multimedia",1,118405-72T,,31-Jan-2015,0.22,Actual,2.13,2.35,Actual,9.48%,0.22,Angel,,13.49,,Angel (individual),Angel (individual),,Individual,0.22,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Pounds (GBP),"York, United Kingdom",Europe,Western Europe,York,England,YO10 5GA,United Kingdom,2012
118406-44T,161968-06,Information Technology,Software,Communication Software,"Business/Productivity Software, Communication Software*","Augmented Reality, CloudTech & DevOps, Mobile, TMT, Virtual Reality","augmented reality app, broadcast content, holograms technology, mobile application development, screen broadcast content",Angel-Backed,Generating Revenue,Pre-venture,139119-67P,"University of Huddersfield, MS (Master of Science), 2001, Interactive Multimedia",5,118406-44T,,01-Jan-2018,,,,,,,1.43,,,,,Equity Crowdfunding,,,Individual,,,,,,,,,,Completed,Generating Revenue,Angel-Backed,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,,,British Pounds (GBP),"York, United Kingdom",Europe,Western Europe,York,England,YO10 5GA,United Kingdom,2012
136526-68T,435102-04,Business Products and Services (B2B),Commercial Products,Distributors/Wholesale,Distributors/Wholesale*,"CloudTech & DevOps, Digital Health, E-Commerce, HealthTech","healthcare online platform, healthcare online portal, medical ecommerce, online medicine retail, online medicine shopping",Venture Capital-Backed,Startup,Venture Capital,230032-99P,,1,136526-68T,,31-Dec-2015,15.52,Actual,,,,,15.52,1st Round,,,Series A,Early Stage VC,Series A,,Venture Capital,15.52,,,,,,,,,Completed,Startup,Venture Capital-Backed,200,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,Chinese Yuan RMB (CNY),"Guangzhou, China",Asia,East Asia,Guangzhou,Guangdong,,China,2015
67911-49T,155748-70,Information Technology,Software,Other Software,"Business/Productivity Software, Other Software*","3D Printing, CloudTech & DevOps, TMT","additives manufacturing software, additives processing software tools, integrated software developer, metal manufacturing software",Formerly VC-backed,Generating Revenue,Venture Capital,131029-48P,"Texas A&M University, Ph.D. (Doctor of Philosophy), 1997, Mechanical Engineering; University of Idaho, BS (Bachelor of Science), 1993, Mechanical Engineering",1,67911-49T,,01-Jan-2015,0.33,Actual,,,,,,,,,,Grant,,,Other,,,,,,,,,,Completed,Generating Revenue,Corporation,14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,US Dollars (USD),"Park City, UT",Americas,North America,Park City,Utah,84098,United States,2014
122433-04T,155748-70,Information Technology,Software,Other Software,"Business/Productivity Software, Other Software*","3D Printing, CloudTech & DevOps, TMT","additives manufacturing software, additives processing software tools, integrated software developer, metal manufacturing software",Formerly VC-backed,Generating Revenue,Venture Capital,131029-48P,"Texas A&M University, Ph.D. (Doctor of Philosophy), 1997, Mechanical Engineering; University of Idaho, BS (Bachelor of Science), 1993, Mechanical Engineering",2,122433-04T,,26-May-2015,,,,,,,,1st Round,,,,Early Stage VC,,,Venture Capital,,,,,,,,,,Completed,Generating Revenue,Venture Capital-Backed,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,US Dollars (USD),"Park City, UT",Americas,North America,Park City,Utah,84098,United States,2014
