Company PBID,Exit Date,Exit Type,VC Round Stock Type,Payout,Return %,Return MOIC,VC Deal Size (millions),VC Round Close Date,Time Since VC Round
40452-67,11/30/16,Buyout/LBO,Series A,,,,$7.00,3/13/02,14.73
40452-67,11/30/16,Buyout/LBO,Series B,,,,$7.00,3/13/02,14.73
40452-67,11/30/16,Buyout/LBO,Series C,,,,$11.00,6/12/06,10.48
40452-67,11/30/16,Buyout/LBO,Series D,,,,$11.00,6/12/06,10.48
40452-67,11/30/16,Buyout/LBO,Series E,,,,$11.00,6/12/06,10.48
40452-67,11/30/16,Buyout/LBO,Series F,,,,$4.73,4/2/14,2.67
40452-67,11/30/16,Buyout/LBO,Series G,,,,$4.73,4/2/14,2.67
40452-67,11/30/16,Buyout/LBO,Series H,,,,$3.50,4/4/16,0.66
58412-62,10/16/15,Merger/Acquisition,Seed,$18.04,1704%,18.04x,$1.00,2/26/13,2.64
58412-62,10/16/15,Merger/Acquisition,Series A,$43.30,622%,7.22x,$6.00,8/12/13,2.18
53557-21,4/24/15,IPO,Series A,$32.98,177%,2.77x,$11.92,5/1/05,9.99
53557-21,4/24/15,IPO,Series B,$30.61,91%,1.91x,$16.00,10/1/06,8.57
53557-21,4/24/15,IPO,Series C,$54.41,286%,3.86x,$14.09,2/19/10,5.18
53557-21,4/24/15,IPO,Series D,$24.12,271%,3.71x,$6.50,10/25/10,4.50
53557-21,4/24/15,IPO,Series E,$21.45,206%,3.06x,$7.00,12/28/11,3.32
53557-21,4/24/15,IPO,Series F,$23.74,18%,1.18x,$20.05,7/24/12,2.75
53557-21,4/24/15,IPO,Series G,$28.35,-19%,0.81x,$35.00,7/31/13,1.73
53557-21,4/24/15,IPO,Series H,$35.55,-41%,0.59x,$60.05,4/29/14,0.99
82160-38,7/26/16,Merger/Acquisition,Series A,$2.14,-72%,0.28x,$7.60,3/29/16,0.33
52228-63,1/24/17,Merger/Acquisition,Series E,$203.55,70%,1.70x,$120.00,7/22/14,2.51
52228-63,1/24/17,Merger/Acquisition,Series F,$175.12,11%,1.11x,$158.00,12/1/15,1.15
52228-63,1/24/17,Merger/Acquisition,Series A,$633.45,11417%,115.17x,$5.50,4/4/08,8.81
52228-63,1/24/17,Merger/Acquisition,Series B,$489.42,4349%,44.49x,$11.00,5/3/10,6.73
52228-63,1/24/17,Merger/Acquisition,Series C,$243.86,1119%,12.19x,$20.00,1/17/12,5.02
52228-63,1/24/17,Merger/Acquisition,Series D,$246.68,393%,4.93x,$50.00,1/23/13,4.01
51725-08,1/11/17,Buyout/LBO,Series A,,,,$9.50,3/29/11,5.79
51725-08,1/11/17,Buyout/LBO,Series B,,,,$12.40,3/13/12,4.84
51725-08,1/11/17,Buyout/LBO,Series C,,,,$12.35,9/9/15,1.34
54391-69,5/25/17,IPO,Series A,$119.24,1092%,11.92x,$10.00,7/21/08,8.85
54391-69,5/25/17,IPO,Series B,$60.17,60%,1.60x,$37.50,2/17/14,3.27
119461-06,1/22/18,Merger/Acquisition,Series A,,,,$15.70,6/17/15,2.60
50982-85,8/23/17,Buyout/LBO,Series A,,,,$2.23,12/17/07,9.69
50982-85,8/23/17,Buyout/LBO,Series B,,,,$5.13,12/2/08,8.73
50982-85,8/23/17,Buyout/LBO,Series C,,,,$13.00,9/14/10,6.95
50982-85,8/23/17,Buyout/LBO,Series D,,,,$17.00,12/5/11,5.72
50982-85,8/23/17,Buyout/LBO,Series E,,,,$43.00,1/14/14,3.61
50982-85,8/23/17,Buyout/LBO,Series F,,,,$35.10,8/24/16,1.00
109200-25,3/5/19,Merger/Acquisition,CHECK,$9.97,780%,8.80x,$1.13,4/28/16,2.85
99400-96,6/21/16,Merger/Acquisition,Series A,$14.38,105%,2.05x,$7.00,11/12/14,1.61
99400-96,6/21/16,Merger/Acquisition,Series B,$21.12,41%,1.41x,$15.00,4/24/15,1.16
55578-34,4/5/16,Merger/Acquisition,Series A,,,,$2.25,11/8/12,3.41
95732-47,2/25/19,Merger/Acquisition,Seed,,,,$0.61,9/26/14,4.42
56422-36,9/18/19,Merger/Acquisition,Series A,,,,$1.17,5/28/14,5.31
65026-36,3/18/16,IPO,CHECK,$31.37,1817%,19.17x,$1.64,1/1/06,10.22
83143-45,6/20/18,Merger/Acquisition,Series A,,,,$2.52,4/3/15,3.22
