Company PBID,Exit Date,Exit Size (millions),Pre Value (millions),Post Value (millions),Exit Type,Last VC Deal Type,Total VC Capital Raised ($M)***,Total Preferred Capital Raised ($M)*,% Preferred Capital Raised*,Total Preferred Capital Raised ($M) - Combination**,% Preferred Capital Raised - Combination**,MOIC,Industry Sector,Industry Group,Industry Code,Verticals,City,State,Country
82024-93,4/11/16,,,,Merger/Acquisition,Early Stage VC,,,,,,,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"SaaS, AdTech, Marketing Tech, TMT, CloudTech & DevOps",Wichita,Kansas,United States
155748-70,11/15/17,,,,Merger/Acquisition,Early Stage VC,,,,,,,Information Technology,Software,Other Software,"3D Printing, TMT, CloudTech & DevOps",Park City,Utah,United States
160695-55,1/13/17,,,,Merger/Acquisition,Early Stage VC,$0.70,,,,,,Information Technology,Software,Software Development Applications,"SaaS, TMT, CloudTech & DevOps",Tel Aviv,,Israel
81857-08,3/18/19,$166.00,,$166.00,Merger/Acquisition,Early Stage VC,$10.10,,,,,16.44x,Information Technology,Software,Business/Productivity Software,"SaaS, CloudTech & DevOps",Georgetown,Texas,United States
168816-52,8/16/17,,,,Merger/Acquisition,Seed Round,$2.00,,,,,,Information Technology,Software,Application Software,"Mobile, Artificial Intelligence & Machine Learning, TMT, CloudTech & DevOps",Minsk,,Belarus
62510-23,4/1/15,,,,Merger/Acquisition,Seed Round,$1.15,,,,,,Business Products and Services (B2B),Commercial Services,Media and Information Services (B2B),"SaaS, Mobile, Marketing Tech, TMT, CloudTech & DevOps",San Francisco,California,United States
40452-67,11/30/16,,,,Buyout/LBO,Series H,$68.24,$26.23,38%,$26.23,38%,,Information Technology,Software,Business/Productivity Software,"SaaS, Cybersecurity, TMT, CloudTech & DevOps",Minneapolis,Minnesota,United States
179890-84,8/23/18,$14.10,,$14.10,Merger/Acquisition,Early Stage VC,,,,,,,Information Technology,Software,Application Software,"Mobile, LOHAS & Wellness, Big Data, Internet of Things, TMT, Industrials, CloudTech & DevOps",Kitchener,Ontario,Canada
95679-28,1/23/19,$106.10,,$106.10,Merger/Acquisition,Series B,$1.94,,,,,54.69x,Information Technology,Software,Multimedia and Design Software,"TMT, SaaS, CloudTech & DevOps",Clermont-Ferrand,,France
56703-97,12/16/16,$22.67,,$22.67,Merger/Acquisition,Seed Round,$0.64,,,,,35.26x,Information Technology,Other Information Technology,Other Information Technology,"TMT, CloudTech & DevOps",Warwick,England,United Kingdom
119612-71,7/13/15,,,,Merger/Acquisition,,,,,,,,Information Technology,Communications and Networking,Telecommunications Service Providers,"SaaS, TMT, CloudTech & DevOps",Dublin,,Ireland
62307-28,5/10/19,$16.00,,$16.00,Merger/Acquisition,Early Stage VC,$3.75,,,,,,Information Technology,Software,Database Software,"SaaS, Mobile, Big Data, TMT, CloudTech & DevOps",Seattle,Washington,United States
58412-62,10/16/15,$126.30,,$126.30,Merger/Acquisition,Series A,$7.00,$7.00,100%,$7.00,100%,18.04x,Information Technology,IT Services,Systems and Information Management,"SaaS, TMT, CloudTech & DevOps",Santa Barbara,California,United States
59251-15,6/23/20,,,,Merger/Acquisition,Later Stage VC,$9.84,$2.87,29%,$2.87,29%,,Information Technology,Software,Business/Productivity Software,"SaaS, Mobile, TMT, CloudTech & DevOps",Seattle,Washington,United States
57378-16,2/22/17,,,,Merger/Acquisition,Early Stage VC,$8.55,,,,,,Information Technology,Software,Software Development Applications,"SaaS, TMT, CloudTech & DevOps",San Francisco,California,United States
53557-21,4/24/15,$407.53,$407.53,$494.49,IPO,Series H,$182.15,$115.59,63%,$182.15,100%,2.24x,Information Technology,Software,Software Development Applications,"TMT, CloudTech & DevOps",San Jose,California,United States
157322-08,12/23/19,$144.10,,$144.10,Merger/Acquisition,Series B,$37.80,,,,,3.81x,Information Technology,Software,Network Management Software,"Cybersecurity, CloudTech & DevOps",San Jose,California,United States
82160-38,7/26/16,$6.50,,$6.50,Merger/Acquisition,Series A,$7.60,$7.95,105%,$7.95,105%,,Information Technology,Software,Software Development Applications,"TMT, CloudTech & DevOps",Santa Clara,California,United States
56251-81,8/17/15,,,,Merger/Acquisition,Later Stage VC,$12.00,,,,,,Information Technology,Software,Network Management Software,"SaaS, TMT, CloudTech & DevOps",Des Moines,Iowa,United States
52228-63,1/24/17,"$3,258.00",,"$3,258.00",Merger/Acquisition,Series F,$364.50,$364.50,100%,$364.50,100%,8.94x,Information Technology,Software,Business/Productivity Software,"SaaS, TMT, CloudTech & DevOps",San Francisco,California,United States
51725-08,1/11/17,,,,Buyout/LBO,Series C,$40.63,$34.25,84%,$34.25,84%,,Information Technology,Software,Network Management Software,"SaaS, Mobile, Cybersecurity, TMT, CloudTech & DevOps",Boston,Massachusetts,United States
51540-76,8/18/16,,,,Merger/Acquisition,Later Stage VC,$21.03,$14.20,68%,$15.20,72%,,Information Technology,Software,Network Management Software,"SaaS, TMT, CloudTech & DevOps",Bloomington,Minnesota,United States
62429-23,12/6/16,$47.90,,$47.90,Merger/Acquisition,Series A,$7.00,,,,,,Information Technology,Software,Automation/Workflow Software,"SaaS, TMT, CloudTech & DevOps",San Jose,California,United States
54391-69,5/25/17,$629.26,$629.26,$704.26,IPO,Series B,$47.50,$47.50,100%,$47.50,100%,,Information Technology,Software,Business/Productivity Software,"Mobile, TMT, Artificial Intelligence & Machine Learning, CloudTech & DevOps",McLean,Virginia,United States
